valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.519,2017,0.25,['Bao Huy'],0.765,181058,0.705,0,3JsK1f4vjPJ0lAeYezdIkM,0.0,1,0.161,-7.059,1,Ngày Xuân Long Phụng Sum Vầy,0,2017-03-22,0.0447,97.965
0.217,2020,0.0313,['Anotherworld el Bey'],0.6759999999999999,194717,0.684,1,3OupJXAhSOiMc0JQSWfpVL,0.0,10,0.1689999999999999,-6.678999999999999,0,Da Realest,0,2020-09-06,0.382,130.211
0.122,2016,3.2899999999999987e-05,['Sergio Arzillo'],0.789,451894,0.91,0,3a06el4oK5jSU2QQMK7SPE,0.942,8,0.131,-9.789,0,Mental Jobs - Original mix,0,2016-12-30,0.0566,127.988
0.552,2016,0.00149,"['Derx', 'Nathan Brumley']",0.727,288750,0.474,0,3b0LOj6FoXBeFBTFq3NbRw,0.0412,11,0.0367,-7.044,0,Embrace This Moment,0,2016-12-23,0.0364,128.001
0.0595,2017,0.00246,['Avana'],0.227,201217,0.934,0,3eEB4nyTO2PSKzZ4QUIXAb,0.884,1,0.197,-5.169,0,The Wilderness,0,2017-12-20,0.0557,150.048
0.738,2016,0.00907,"['Dj Anton Ostapovich', 'Veronik']",0.649,274416,0.83,1,3prUIUi9YLvdzppmgnmW39,4.05e-06,1,0.24,-2.16,1,I Can Not Be,0,2016-12-20,0.213,128.063
0.198,2017,0.000621,"['Jaytech', 'Tommy Murphy']",0.634,289526,0.74,0,3tsYtjdyn23IaBqR5WjLtW,0.127,11,0.117,-8.218,0,Show You,1,2017-12-01,0.0279,125.963
0.22,2017,0.0181,['Donkey Rollers'],0.606,178275,0.778,0,4E3E5IlvamwZF6rsnlO4wn,0.7929999999999999,7,0.216,-7.053999999999999,1,The Last City on Earth - Avana Remix,0,2017-12-20,0.0296,112.41
0.101,2017,0.0148,['Scott-O-Matic'],0.802,389548,0.647,0,4HbXIuKLVHdE6M2fAZRyDZ,0.95,4,0.0883,-7.4620000000000015,0,The Demon,0,2017-01-14,0.0567,130.001
0.29,2016,0.00123,"['DualXess', 'DJ Chris M.']",0.705,225469,0.772,0,4M2x4oC9oe28LFXEwew9t6,0.0218,0,0.0851,-7.193,1,Jumping,0,2016-12-23,0.0355,127.987
0.821,2017,0.314,['Bao Huy'],0.7909999999999999,232318,0.82,0,4QXLcMLHAOYm8JY2JnoAGH,0.0,9,0.42,-5.488,0,Xuân Yêu Thương,0,2017-03-22,0.065,140.018
0.327,2017,0.235,['Stone Bwoy'],0.68,172852,0.555,0,4kg8XGUdBpVKbCYIPjvJwH,0.0,1,0.287,-4.467,1,Shell Dem - Shutdown Riddim,1,2017-05-26,0.41,103.811
0.143,2017,0.012,"['Above & Beyond', 'Justine Suissa']",0.514,296759,0.762,0,4msN6sxSacmHFNFZMZzfqg,0.0186,9,0.156,-6.7620000000000005,1,Alright Now - Above & Beyond Club Mix,1,2017-12-01,0.0455,127.969
0.608,2016,0.0062299999999999,"['David Pole', 'Martika', 'The Romy']",0.745,251953,0.979,0,4nGDe1W0MKiDTVV9yIhXQ0,0.0,5,0.125,-3.409,0,Join The Party - Extended Mix,0,2016-12-23,0.127,127.988
0.7170000000000001,2017,0.0932,['Lindsay Ell'],0.509,202747,0.8759999999999999,0,4dV6BP3spzbAMWlsb2adGG,6.51e-06,4,0.119,-2.852,1,Criminal,56,2017-08-11,0.0525,77.491
1e-05,2017,0.1689999999999999,['Waves Hard'],0.113,175216,0.8140000000000001,0,3zhK6zKrLWxdgwtT1Nzu1c,0.991,0,0.5920000000000001,-13.845999999999998,1,Waves for Dreaming,57,2017-05-06,0.0718,83.87700000000002
0.151,2017,0.0935,['Trippie Redd'],0.607,223139,0.609,1,7KrkTrZfPhgXelA3NvDMkE,0.0,0,0.168,-5.678999999999999,1,In Too Deep,56,2017-10-06,0.0498,143.07299999999995
0.215,2017,0.0031,"['XXXTENTACION', 'Ski Mask The Slump God']",0.914,162214,0.515,1,05And5JRQJeIaMASE5D9Nj,0.0,1,0.105,-9.934,1,4Peat,60,2017-07-14,0.356,150.016
0.4970000000000001,2017,0.00739,['Sam Smith'],0.513,207966,0.648,0,7HwcH5CiJzuUzspuOqOJQa,4.870000000000001e-05,5,0.176,-7.713999999999999,0,"Baby, You Make Me Crazy",57,2017-11-03,0.0994,169.743
0.384,2017,0.369,['eli.'],0.899,264000,0.259,0,76cQg9zKImVOYRz6sU6xvw,0.0741,5,0.103,-8.266,1,i'm sad,63,2017-11-14,0.0638,119.948
0.6779999999999999,2017,0.0185,['Terror Reid'],0.544,180000,0.812,1,7EpACeh5ooHUb0AnQ3f3Xl,0.0,1,0.481,-6.431,1,Uppercuts,63,2017-04-07,0.393,183.529
0.39,2017,0.939,"['halberd', 'Nion']",0.782,84315,0.127,0,7pDspg2l98EwYQRcBpmQWK,0.7809999999999999,7,0.125,-20.939,1,summer nights.,61,2017-07-13,0.6679999999999999,83.98899999999998
0.302,2017,0.625,['The Lumineers'],0.652,178840,0.601,0,5kGBSOrKYmhRfdPBw4xD8D,0.000165,4,0.17,-7.987999999999999,1,Angela (Single Version),54,2017-02-24,0.0317,130.308
0.546,2017,0.000744,['Lil Skies'],0.8109999999999999,155474,0.642,1,3i5h463CsDCWV13a25RgEO,0.0,8,0.0981,-6.1610000000000005,1,Big Money,58,2017-12-12,0.0661,160.946
0.72,2017,0.0313,"['Sigala', 'Ella Eyre']",0.708,202999,0.868,0,3kGfazcbVvVkuZunzlLgTD,0.0,6,0.122,-3.287,1,Came Here for Love,66,2017-06-09,0.0431,124.994
0.221,2017,0.76,['Chris Stapleton'],0.535,255027,0.266,0,3yju5QYFjndmGvaG2wVvPv,4.91e-05,4,0.243,-9.97,1,"Last Thing I Needed, First Thing This Morning",56,2017-05-05,0.03,83.177
0.418,2017,0.0649,['DAY6'],0.458,283160,0.617,0,71WZ7yFuwxmQz5jJUpvkGv,0.0,5,0.109,-3.464,0,예뻤어 You Were Beautiful,68,2017-06-07,0.0331,167.925
